FaultNodes,TransactionRate,Transaction60,Before,ScalabilityGradient,Type,Quorum,SubEpoch,TotalNodes,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
1,676000,2816.66666666667,0,0,Latency: 100ms,2,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,636000,2650,0.062893081761006,0.06,Latency: 100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600000,2500,0.06,0.06,Latency: 100ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,564000,2350,0,0,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
2,524000,2183,0.076500229042602,0.07,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
3,380000,1583,0.379027163613392,0.37,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
1,440000,1833,0,0,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
2,400000,1667,0.099580083983203,0.1,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
3,360000,1500,0.111333333333333,0.11,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
1,630000,2625,0,0,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
2,600000,2500,0.05,0.05,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
3,580000,2417,0.034340091021928,0.03,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,620000,2583,0,0,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,590000,2458,0.050854353132628,0.05,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,570000,2375,0.034947368421053,0.03,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,625000,2604,0,0,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600000,2500,0.0416,0.04,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,585000,2438,0.025430680885972,0.02,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
