Nodes,TransactionRate,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
5,380,AuRa 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.525416,677.260149,694.654315,722.518757,730.864817,753.559025,776.165715,806.794404
10,277,AuRa 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
15,200,AuRa 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
20,160,AuRa 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
25,112,AuRa 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
5,340,AuRa 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.338695,469.318595,490.031376,494.00146,505.150565,512.316581,528.227313,535.380603
10,260,AuRa 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
15,150,AuRa 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
20,141,AuRa 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
25,110,AuRa 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
5,330,AuRa 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,180,AuRa 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,110,AuRa 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,110,AuRa 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,105,AuRa 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,277,BABE 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,269,BABE 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,259,BABE 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,181,BABE 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,92,BABE 1000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,265,BABE 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,259,BABE 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,170,BABE 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,139,BABE 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,80,BABE 2000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,250,BABE 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,250,BABE 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,165,BABE 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,110,BABE 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,79,BABE 3000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
